model,task,seed,split,n_classes,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,no_distortion_wcontrib,truncation_rate,source,averaging
mental/mental-roberta-base[stage2-isolated],multilabel,42.0,val,10,0.404507076169395,0.3778531312633458,,0.3984819734345351,,,,0.2384,empowerlens,
mental/mental-roberta-base[stage2-isolated],multilabel,42.0,test,10,0.3461183251976747,0.326272640409027,,0.3522727272727273,,,,0.2198,empowerlens,
mental/mental-roberta-base[stage2-isolated],multilabel,1337.0,val,10,0.4058149162001549,0.3829009033428004,,0.3795620437956204,,,,0.2384,empowerlens,
mental/mental-roberta-base[stage2-isolated],multilabel,1337.0,test,10,0.3751729618403747,0.3563207627000458,,0.3714285714285714,,,,0.2198,empowerlens,
mental/mental-roberta-base[stage2-isolated],multilabel,2024,val,10,0.38773039192712133,0.36581925306368157,,0.3830570902394107,,,,0.2384,empowerlens,
mental/mental-roberta-base[stage2-isolated],multilabel,2024,test,10,0.3511288125225875,0.32958853647963415,,0.36363636363636365,,,,0.2198,empowerlens,
Shreevastava2021,binary,,paper,2,0.79,,,,,,,,paper,UNSPECIFIED
Shreevastava2021,multiclass,,paper,UNSTATED,0.3,,,,,,,,paper,weighted
