tag,task,model,seed,trained_on,loss,exam,test_set,home_is_yardstick,leaked,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,checkpoint
exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_1337,multilabel,mental/mental-roberta-base,1337,data/splits,weighted_bce,home,data/splits,True,False,0.2000809056650479,0.1992695775862233,,0.2076271186440678,,,results_RUN2/results_experiments/exp2_combmatched/annotated_plus_codipas/checkpoints/exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_1337
exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_1337,multilabel,mental/mental-roberta-base,1337,data/splits,weighted_bce,yardstick,data/splits,True,False,0.2000809056650479,0.1992695775862233,,0.2076271186440678,,,results_RUN2/results_experiments/exp2_combmatched/annotated_plus_codipas/checkpoints/exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_1337
exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_2024,multilabel,mental/mental-roberta-base,2024,data/splits,weighted_bce,home,data/splits,True,False,0.2351987864714648,0.2260042614031521,,0.2388059701492537,,,results_RUN2/results_experiments/exp2_combmatched/annotated_plus_codipas/checkpoints/exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_2024
exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_2024,multilabel,mental/mental-roberta-base,2024,data/splits,weighted_bce,yardstick,data/splits,True,False,0.2351987864714648,0.2260042614031521,,0.2388059701492537,,,results_RUN2/results_experiments/exp2_combmatched/annotated_plus_codipas/checkpoints/exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_2024
exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_42,multilabel,mental/mental-roberta-base,42,data/splits,weighted_bce,home,data/splits,True,False,0.23235223171172523,0.21963862864989273,,0.22633744855967078,,,results_RUN2/results_experiments/exp2_combmatched/annotated_plus_codipas/checkpoints/exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_42
exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_42,multilabel,mental/mental-roberta-base,42,data/splits,weighted_bce,yardstick,data/splits,True,False,0.23235223171172523,0.21963862864989273,,0.22633744855967078,,,results_RUN2/results_experiments/exp2_combmatched/annotated_plus_codipas/checkpoints/exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_42
