eval_loss,eval_macro_f1,eval_macro_f1_10,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
2.3958542346954346,0.049634273772204814,0.0,1.69,149.701,9.467,1.0,127
2.314246654510498,0.10491924898704559,0.05244821092278719,1.6464,153.673,9.718,2.0,254
2.1923422813415527,0.17649635327846444,0.1378959886063109,1.6563,152.747,9.66,3.0,381
2.181828022003174,0.18106622074759227,0.14167284282235154,1.6645,151.998,9.612,4.0,508
2.2622809410095215,0.23895139472544383,0.20085823010442097,1.6567,152.711,9.658,5.0,635
2.4100914001464844,0.19911529920109672,0.16020329970944175,1.6542,152.948,9.673,6.0,762
2.5415170192718506,0.24063221366721546,0.20324965190140692,1.6581,152.58,9.649,7.0,889
2.8315930366516113,0.24048401192857877,0.1971527339770516,1.6558,152.796,9.663,8.0,1016
3.232841968536377,0.21109678539677346,0.1633385394081489,1.6569,152.695,9.657,9.0,1143
3.250708818435669,0.21374357850671935,0.1664612199394808,1.6385,154.407,9.765,10.0,1270
3.354616641998291,0.23495532484677667,0.19078916578916577,1.6549,152.88,9.668,11.0,1397
3.4450466632843018,0.23289058191280249,0.18853258128055328,1.6598,152.427,9.64,12.0,1524
2.5436079502105713,0.24063221366721546,0.20324965190140692,1.6676,151.711,9.594,12.0,1524
