model,task,seed,split,n_classes,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,no_distortion_wcontrib,truncation_rate,roc_auc,source,averaging
mental/mental-roberta-base,multiclass,42,val,11,0.3734155391060296,0.2849986943007982,0.2578694246580303,0.3478260869565217,,0.5562913907284768,0.2088841190482422,0.0277,0.7287086090408625,empowerlens,
mental/mental-roberta-base,multiclass,42,test,11,0.3438758707351372,0.2313261212067413,0.1969244867520729,0.3201581027667984,,0.5753424657534246,0.2092154420921544,0.0237,0.7046098040433925,empowerlens,
mental/mental-roberta-base,multiclass,1337,val,11,0.404788882759296,0.274389368138027,0.2348012779248027,0.3992094861660079,,0.6702702702702703,0.2516825125520778,0.0277,0.7421781248285833,empowerlens,
mental/mental-roberta-base,multiclass,1337,test,11,0.3455348694083872,0.2066287139014412,0.1635553215553215,0.3438735177865613,,0.6373626373626373,0.2317682317682317,0.0237,0.7097233971534064,empowerlens,
mental/mental-roberta-base,multiclass,2024,val,11,0.37620964914324884,0.25163270050550907,0.21452052145426345,0.36363636363636365,,0.6227544910179641,0.23384061915694304,0.0277,0.7100854522736318,empowerlens,
mental/mental-roberta-base,multiclass,2024,test,11,0.3348740804832392,0.24151799354801362,0.2114762445157182,0.3201581027667984,,0.5419354838709678,0.19706744868035192,0.0237,0.7067392012663938,empowerlens,
