model,task,seed,split,n_classes,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,no_distortion_wcontrib,truncation_rate,source,averaging,results_dir
mental/mental-bert-base-uncased,multilabel,1337.0,val,10,0.3025188866710392,0.287786782907814,,0.2842639593908629,,,,0.0061,empowerlens,,results_codipas
mental/mental-bert-base-uncased,multilabel,1337.0,test,10,0.3002657108614891,0.2980918363197949,,0.3063973063973064,,,,0.0122,empowerlens,,results_codipas
mental/mental-bert-base-uncased,multilabel,2024.0,val,10,0.2951547558943905,0.2784744252555083,,0.2907180385288966,,,,0.0061,empowerlens,,results_codipas
mental/mental-bert-base-uncased,multilabel,2024.0,test,10,0.2465417314804263,0.2407633139063255,,0.2495412844036697,,,,0.0122,empowerlens,,results_codipas
Shreevastava2021,binary,,paper,2,0.79,,,,,,,,paper,UNSPECIFIED,results_codipas
Shreevastava2021,multiclass,,paper,UNSTATED,0.3,,,,,,,,paper,weighted,results_codipas
mental/mental-roberta-base,multilabel,42.0,val,10,0.3549111999151446,0.3363213312529171,,0.3452631578947368,,,,0.0277,empowerlens,,results_combined
mental/mental-roberta-base,multilabel,42.0,test,10,0.2958170492261527,0.2850185864963071,,0.2902584493041749,,,,0.0237,empowerlens,,results_combined
mental/mental-roberta-base,multilabel,1337.0,val,10,0.3307811224188573,0.3162080458540278,,0.3278688524590163,,,,0.0277,empowerlens,,results_combined
mental/mental-roberta-base,multilabel,1337.0,test,10,0.2776436332744139,0.2757008582595329,,0.2824427480916031,,,,0.0237,empowerlens,,results_combined
mental/mental-roberta-base,multilabel,2024.0,val,10,0.3501211243794693,0.3312250159252855,,0.3432494279176201,,,,0.0277,empowerlens,,results_combined
mental/mental-roberta-base,multilabel,2024.0,test,10,0.2910537901399477,0.2755632075440871,,0.2887029288702928,,,,0.0237,empowerlens,,results_combined
microsoft/deberta-v3-base,multilabel,42.0,val,10,0.3513694092434074,0.3365911165761128,,0.3462414578587699,,,,0.0119,empowerlens,,results_combined
microsoft/deberta-v3-base,multilabel,42.0,test,10,0.2200130995947959,0.2060722468894972,,0.2192393736017897,,,,0.0079,empowerlens,,results_combined
microsoft/deberta-v3-base,multilabel,1337.0,val,10,0.366175603200238,0.359054070854556,,0.3673469387755102,,,,0.0119,empowerlens,,results_combined
microsoft/deberta-v3-base,multilabel,1337.0,test,10,0.197076568835445,0.1818990554732242,,0.1904761904761904,,,,0.0079,empowerlens,,results_combined
microsoft/deberta-v3-base,multilabel,2024.0,val,10,0.3101835305528068,0.29744986660043,,0.3134657836644591,,,,0.0119,empowerlens,,results_combined
microsoft/deberta-v3-base,multilabel,2024.0,test,10,0.2094711783355128,0.192339714979461,,0.2123142250530785,,,,0.0079,empowerlens,,results_combined
Shreevastava2021,binary,,paper,2,0.79,,,,,,,,paper,UNSPECIFIED,results_combined
Shreevastava2021,multiclass,,paper,UNSTATED,0.3,,,,,,,,paper,weighted,results_combined
