model,task,n_classes,split,n_seeds,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,truncation_rate
mental/mental-roberta-base,multiclass,11.0,test,3,0.338 ± 0.013,0.224 ± 0.011,0.188 ± 0.010,0.312 ± 0.014,,0.582 ± 0.028,0.024 ± 0.000
mental/mental-roberta-base,multiclass,11.0,val,3,0.373 ± 0.022,0.259 ± 0.016,0.223 ± 0.015,0.365 ± 0.026,,0.619 ± 0.036,0.028 ± 0.000
mental/mental-roberta-base,multilabel,10.0,test,3,0.288 ± 0.008,0.279 ± 0.004,,0.287 ± 0.003,,,0.024 ± 0.000
mental/mental-roberta-base,multilabel,10.0,val,3,0.345 ± 0.010,0.328 ± 0.009,,0.339 ± 0.008,,,0.028 ± 0.000
microsoft/deberta-v3-base,multiclass,11.0,test,3,0.336 ± 0.011,0.212 ± 0.006,0.172 ± 0.004,0.319 ± 0.017,,0.607 ± 0.023,0.008 ± 0.000
microsoft/deberta-v3-base,multiclass,11.0,val,3,0.390 ± 0.019,0.264 ± 0.020,0.225 ± 0.022,0.389 ± 0.027,,0.657 ± 0.021,0.012 ± 0.000
microsoft/deberta-v3-base,multilabel,10.0,test,3,0.209 ± 0.009,0.193 ± 0.010,,0.207 ± 0.012,,,0.008 ± 0.000
microsoft/deberta-v3-base,multilabel,10.0,val,3,0.343 ± 0.024,0.331 ± 0.025,,0.342 ± 0.022,,,0.012 ± 0.000
